Rk,year,TM,player,college,yrs,G,MP,PTS,TRB,AST,FG,3p%,FT,WS,ws48,BPM,VORP
1,1966,NYK,Cazzie Russell,Michigan,12,817,27.2,15.1,3.8,2.2,0.464,,0.827,51.7,0.112,-0.5,3.3
2,1966,DET,Dave Bing,Syracuse,12,901,36.4,20.3,3.8,6,0.441,,0.775,68.8,0.101,-0.3,5.6
3,1966,SFW,Clyde Lee,Vanderbilt,10,742,26.8,7.7,10.3,1.1,0.432,,0.614,33.5,0.081,-2.3,-0.4
4,1966,STL,Lou Hudson,Minnesota,13,890,33.5,20.2,4.4,2.7,0.489,,0.797,81,0.131,0.4,6.8
5,1966,BAL,Jack Marin,Duke,11,849,29,14.8,5.2,2.1,0.465,,0.843,59.3,0.116,-1.7,0.5
6,1966,CIN,Walt Wesley,Kansas,10,590,17.5,8.5,5.5,0.7,0.434,,0.63,9.5,0.044,-2.7,-0.1
7,1966,LAL,Jerry Chambers,Utah,4,239,15.4,8.1,3.1,0.8,0.442,,0.747,2.8,0.037,,
8,1966,BOS,Jim Barnett,Oregon,11,732,23.8,11.7,3.1,3,0.435,,0.797,33.2,0.092,-1.1,1.1
9,1966,PHI,Matt Guokas,Saint Joseph's,10,735,22.6,5.8,2,3,0.489,,0.727,26.7,0.077,-1.8,0.2
10,1966,CHI,Dave Schellhase,Purdue,2,73,7,2.8,1,0.8,0.349,,0.567,-0.6,-0.061,,
11,1966,NYK,Henry Akin,Morehead State University,2,86,8.3,3.5,2.1,0.5,0.351,,0.676,-1.2,-0.084,,
12,1966,DET,Dorie Murrey,Detroit Mercy,6,357,12.6,4.7,4.4,0.6,0.425,,0.679,6.5,0.07,,
13,1966,SFW,Joe Ellis,San Francisco,8,524,19.8,8.8,5.1,1.4,0.398,,0.727,5,0.023,-4,-0.3
14,1966,STL,Dick Snyder,Davidson,13,964,26.6,12.2,2.8,2.9,0.488,,0.824,58.3,0.109,0.1,5.4
15,1966,BAL,Neil Johnson,Creighton,4,202,11.2,4,3.4,1.1,0.426,,0.613,2,0.042,,
16,1966,CIN,Jerry Lee Wells,Oklahoma City University,,,,,,,,,,,,,
17,1966,LAL,Hank Finkel,Dayton,9,551,12.5,5.1,3.9,0.8,0.449,,0.662,13.5,0.094,-3,-0.2
18,1966,BOS,Leon Clark,Wyoming,,,,,,,,,,,,,
19,1966,PHI,Bill Melchionni,Villanova,2,144,10.1,4.4,1.4,1.4,0.412,,0.673,1,0.033,,
20,1966,CHI,Erwin Mueller,San Francisco,6,425,22.4,7.6,4.8,2,0.429,,0.627,9.6,0.048,,
21,1966,NYK,Stew Johnson,Murray State,,,,,,,,,,,,,
22,1966,DET,Ollie Darden,Michigan,,,,,,,,,,,,,
23,1966,SFW,Stephen Chubin,Rhode Island,,,,,,,,,,,,,
24,1966,STL,Tommy Kron,Kentucky,3,184,17.1,6.5,3.3,2.8,0.389,,0.753,1.8,0.028,,
25,1966,BAL,Dave Wagnon,Idaho State University,,,,,,,,,,,,,
26,1966,CIN,Jim Ware,Oklahoma City University,2,63,6.8,2.3,2.3,0.2,0.284,,0.647,-1.1,-0.125,,
27,1966,LAL,John Block,USC,10,597,24,11.9,6.6,1.3,0.433,,0.778,32.7,0.11,-0.8,0.8
28,1966,BOS,Gary Turner,TCU,,,,,,,,,,,,,
29,1966,PHI,Donnie Freeman,Illinois,1,64,23.1,10.8,2.8,2.7,0.434,,0.819,2.4,0.078,-1.5,0.2
30,1966,CHI,Ed Bodkin,Eastern Kentucky University,,,,,,,,,,,,,
31,1966,NYK,Lee DeFore,Auburn,,,,,,,,,,,,,
32,1966,DET,Jeffrey Congdon,BYU,,,,,,,,,,,,,
33,1966,SFW,Stephen Vacendak,Duke,,,,,,,,,,,,,
34,1966,STL,Bob McIntyre,St. John's,,,,,,,,,,,,,
35,1966,BAL,George Peeples,Iowa,,,,,,,,,,,,,
36,1966,CIN,Charles Schmaus,Virginia Military Institute,,,,,,,,,,,,,
37,1966,LAL,Archie Clark,Minnesota,10,725,32.5,16.3,3.3,4.8,0.48,,0.769,64.7,0.132,-0.4,2.4
38,1966,BOS,Johnny Austin,Boston College,1,4,15.3,5.8,1.8,1,0.227,,0.813,-0.1,-0.043,,
39,1966,PHI,Ken Wilburn,Central State University,1,7,5.7,2.6,1.9,0.4,0.471,,0.25,0,0.038,,
40,1966,CHI,Jim Williams,Temple,,,,,,,,,,,,,
41,1966,NYK,Ron Jackson,Clark Atlanta University,,,,,,,,,,,,,
42,1966,DET,William Pickens,Georgia Southern University,,,,,,,,,,,,,
43,1966,SFW,Tom Kerwin,Centenary (LA),,,,,,,,,,,,,
44,1966,STL,Dick Nemelka,BYU,,,,,,,,,,,,,
45,1966,BAL,John Beasley,Texas A&M,,,,,,,,,,,,,
46,1966,BAL,John Jones,LSU,,,,,,,,,,,,,
47,1966,CIN,Richard Parks,Saint Louis,,,,,,,,,,,,,
48,1966,LAL,Stan Washington,Michigan State,,,,,,,,,,,,,
49,1966,PHI,Tom Duff,Saint Joseph's,,,,,,,,,,,,,
50,1966,CHI,Larry Humes,University of Evansville,,,,,,,,,,,,,
51,1966,NYK,George Fisher,Utah,,,,,,,,,,,,,
52,1966,DET,Carroll Hooser,SMU,,,,,,,,,,,,,
53,1966,SFW,Jim Pitts,Northwestern,,,,,,,,,,,,,
54,1966,STL,Lonnie Wright,Colorado State,,,,,,,,,,,,,
55,1966,BAL,Jeff Newman,Penn,,,,,,,,,,,,,
56,1966,CIN,Steve Cunningham,Western Kentucky,,,,,,,,,,,,,
57,1966,LAL,Keith Thomas,Vanderbilt,,,,,,,,,,,,,
58,1966,BOS,Charlie Hunter,Oklahoma City University,,,,,,,,,,,,,
59,1966,PHI,Red Robbins,Tennessee,,,,,,,,,,,,,
60,1966,NYK,Mike Dabich,New Mexico State,,,,,,,,,,,,,
61,1966,DET,Ted Manning,NC Central,,,,,,,,,,,,,
62,1966,SFW,Lon Hughey,Fresno State,,,,,,,,,,,,,
63,1966,STL,Jay Neary,UNC Wilmington,,,,,,,,,,,,,
64,1966,BAL,Dave Mills,DePaul,,,,,,,,,,,,,
65,1966,CIN,Gary Schull,Florida State,,,,,,,,,,,,,
66,1966,LAL,Tab Jackson,Albertson College of Idaho,,,,,,,,,,,,,
67,1966,BOS,Jerry Ward,Maryland,,,,,,,,,,,,,
68,1966,CHI,John Comeaux,Grambling State University,,,,,,,,,,,,,
69,1966,NYK,Mike Silliman,United States Military Academy,1,36,10.2,2.5,1.7,0.6,0.456,,0.487,0.3,0.037,,
70,1966,DET,George McNeil,Southern Illinois,,,,,,,,,,,,,
71,1966,SFW,Ken Washington,UCLA,,,,,,,,,,,,,
72,1966,STL,Brian Williams,Xavier,,,,,,,,,,,,,
73,1966,BAL,Roland West,Cincinnati,1,4,3.5,1,1.3,0,0.4,,,0,-0.003,,
74,1966,CIN,Ron Krick,Cincinnati,,,,,,,,,,,,,
75,1966,LAL,John Wetzel,Virginia Tech,7,357,13.2,3.4,1.9,1.4,0.429,,0.81,6.6,0.068,-0.8,0.7
76,1966,BOS,Russ Gumina,San Francisco,,,,,,,,,,,,,
77,1966,CHI,Bill Curtis,Michigan State,,,,,,,,,,,,,
78,1966,NYK,Bill Turner,University of Akron,6,294,13.8,5.4,3.5,0.6,0.407,,0.728,4.8,0.057,,
79,1966,STL,Al Grant,Long Island University,,,,,,,,,,,,,
80,1966,BAL,Chuck Gardner,Colorado,,,,,,,,,,,,,
81,1966,CIN,Billy Smith,Loyola Chicago,,,,,,,,,,,,,
82,1966,LAL,Julian Hammond,Tulsa,,,,,,,,,,,,,
83,1966,PHI,Pat Caldwell,Rockhurst University,,,,,,,,,,,,,
84,1966,CHI,Gene Summers,Northern Michigan University,,,,,,,,,,,,,
85,1966,NYK,Richard Moore,Hiram Scott College,,,,,,,,,,,,,
86,1966,STL,Don Yates,Minnesota,,,,,,,,,,,,,
87,1966,BAL,Guy Manning,Prairie View A&M University,,,,,,,,,,,,,
88,1966,CIN,Freddie Lewis,Arizona State,2,64,13.8,5.8,1.4,1.5,0.401,,0.771,0.6,0.031,-3.7,-0.2
89,1966,LAL,Mike Rooney,Oklahoma,,,,,,,,,,,,,
90,1966,PHI,Bob Bedell,Stanford,,,,,,,,,,,,,
91,1966,CHI,Don Swanson,DePaul,,,,,,,,,,,,,
92,1966,NYK,Rich Dyer,NYU,,,,,,,,,,,,,
93,1966,STL,Curt Gammell,Pacific Lutheran University,,,,,,,,,,,,,
94,1966,BAL,Stan McKenzie,NYU,7,396,18.9,9,2.8,1.5,0.444,,0.802,14.5,0.093,-5.2,-0.1
95,1966,CIN,R.B. Lynam,Oklahoma Baptist University,,,,,,,,,,,,,
96,1966,LAL,George Grams,Purdue,,,,,,,,,,,,,
97,1966,CHI,Carver Clinton,Penn State,,,,,,,,,,,,,
98,1966,NYK,Dave Deutsch,University of Rochester,1,19,4.9,1.1,1.1,0.8,0.167,,0.45,-0.5,-0.24,,
99,1966,STL,Lonnie Lynn,Wilberforce University,,,,,,,,,,,,,
100,1966,BAL,Grant Simmons,Nebraska,,,,,,,,,,,,,
101,1966,NYK,Bob Bennett,UNC,,,,,,,,,,,,,
102,1966,STL,Nick Aloi,Bowling Green,,,,,,,,,,,,,
103,1966,BAL,Al Lopes,Kansas,,,,,,,,,,,,,
104,1966,STL,Ollie Carter,San Francisco,,,,,,,,,,,,,
105,1966,BAL,Jim Harter,University of Texas-Pan American,,,,,,,,,,,,,
106,1966,STL,Paul Long,Wake Forest,3,71,6.1,3.9,0.8,0.8,0.464,,0.753,1,0.111,,
107,1966,BAL,Howard Bayne,Tennessee,,,,,,,,,,,,,
108,1966,STL,Eddie Jackson,Bradley,,,,,,,,,,,,,
109,1966,BAL,Ken Barnes,Wisconsin,,,,,,,,,,,,,
110,1966,BAL,Chris Pervall,Iowa,,,,,,,,,,,,,
111,1966,BAL,Jerry Trice,Weber State,,,,,,,,,,,,,
112,1966,BAL,Gene Visscher,Weber State,,,,,,,,,,,,,
1,1967,DET,Jimmy Walker,Providence,9,698,33.8,16.7,2.7,3.5,0.461,,0.829,42.9,0.087,-1.4,1.4
2,1967,BAL,Earl Monroe,Winston-Salem State,13,926,32,18.8,3,3.9,0.464,,0.807,77.4,0.125,0.8,9.8
3,1967,CHI,Clem Haskins,Western Kentucky,9,681,25.9,12.8,3.1,3.5,0.449,,0.792,35.8,0.097,-0.1,1.5
4,1967,DET,Sonny Dove,St. John's,2,57,7,3.1,2,0.4,0.394,,0.581,0,-0.003,,
5,1967,NYK,Walt Frazier,Southern Illinois,13,825,37.5,18.9,5.9,6.1,0.49,0,0.786,113.5,0.176,2.5,15.5
6,1967,SEA,Al Tucker,Oklahoma Baptist University,3,257,20.8,9.5,5,0.9,0.453,,0.702,7.2,0.065,,
7,1967,SDR,Pat Riley,Kentucky,9,528,15.5,7.4,1.6,1.7,0.414,,0.705,4.5,0.026,-4.7,-2.2
8,1967,STL,Tom Workman,Seattle University,2,43,4.3,2.5,1.2,0.1,0.432,,0.711,0.4,0.107,,
9,1967,CIN,Mel Daniels,New Mexico,1,11,11.5,3.5,3.1,0.5,0.371,,0.565,0,-0.002,-4.3,-0.1
10,1967,SFW,Dave Lattin,Texas-El Paso,2,112,11.1,4.5,3.8,0.6,0.4,,0.644,0.7,0.028,,
11,1967,BOS,Mal Graham,NYU,2,70,12.7,4.7,1.7,1.1,0.398,,0.657,0.8,0.043,,
12,1967,PHI,Craig Raymond,BYU,1,27,6.6,2,2.5,0.3,0.344,,0.647,0,-0.001,,
13,1967,BAL,Jimmy Jones,Grambling State University,3,140,18.5,6.4,1.9,2,0.505,,0.738,6.2,0.115,-0.4,1
14,1967,DET,Steve Sullivan,Georgetown,,,,,,,,,,,,,
15,1967,CHI,Byron Beck,Denver,1,53,9.1,4.7,1.8,0.6,0.435,,0.818,0.8,0.078,-3.1,-0.1
16,1967,LAL,Randolph Mahaffey,Clemson,,,,,,,,,,,,,
